domain	subdomain	ko_KR	en_XX
해외고객과의채팅	도소매유통	이해는 합니다만, 예산은 이미 드렸습니다.	I understand, but we've already given you a budget.
감광 재료 및 관련 화학제품 제조업	초록	본 발명은 다층 시스템으로서, 제2 층의 용매에 실질적으로 용해성인 광산 발생제를 함유하는 적어도 제1 층 및 이 시스템에 존재하는 임의의 제3 층을 포함하는 다층 시스템에 관한 것이다. 또한 본 발명은 기판, 상기 반사방지 코팅 조성물의 층, 및 포지티브 또는 네가티브 포토레지스트 조성물의 층을 포함하는 포지티브 및 네가티브 현상가능한 버텀 반사방지 코팅 조성물 및 코팅된 기판에 관한 것이다. 또한 본 발명은 이미지를 형성하는 방법에 관한 것이다. [화학식 I]	Developable bottom antireflective coating compositions are provided.
해외영업	연구개발,과학기술	이와는 대조적으로, 우리의 새로운 전기 자동차는 이제 배터리를 재충전하기 전에 350마일을 주행할 수 있다.	In contrast, our new electric vehicles can now drive 350 miles before recharging the battery.
기술과학	빅데이터	장부 원시 데이터는 복수의 검증 피어 간에 소정 거래가 검증되었다고 합의되는 때마다 관제시스템으로 전달될 수 있다.	The ledger raw data may be transmitted to the control system whenever it is agreed that a certain transaction has been verified between a plurality of verification peers.
finance	금융/증시	다양한 컨시어지 서비스가 제공되고 복층형 등 특화 설계도 도입됐다.	Various concierge services are to be provided and specialized designs such as duplex type have been introduced.
의학	외과학	표재성 상처가 있는 환자는 1차 수리 후 응급실에서 퇴원할 수 있으며 후속 조치를 위해 외래 진료소를 방문할 수 있다.	Patients with superficial wounds can be discharged from ED after primary repair and can visit the outpatient clinic for follow-up purposes.
해외영업	도소매유통	속도 조절도 가능해서 섬세하게 사용 가능해요.	You can also adjust the speed, so you can use it delicately.
sports	스포츠	공동 1위를 차지한 DB의 성적을 고려하면 김훈의 수상 가능성이 높지만 역시 개인 성적에서 팬들의 기대를 밑돈다.	Considering DB's performance, which is tied for the first place, Kim Hoon is likely to win the award, but his individual performance is also below fans' expectations.
자동차용 신품 제동장치 제조업	초록	이 발명품은 브레이크 부스터 진공(bbv)의 진공 챔버에 존재하는 압력을 결정하는 방법과 관련이 있다. 이 발명품에 따르면 압력은 수학적 모델(um)의 도움을 받아 계산되므로 브레이크 부스터(bbv)의 진공 측정을 위한 별도의 압력 센서를 생략할 수 있다.	The invention relates to a method for determining the pressure present in the vacuum chamber of a brake booster vacuum (bbv). according to the invention, the pressure is calculated with the help of a mathematical model (um). thus, a separate pressure sensor for measuring the vacuum at the brake booster (bbv) can be omitted.
뉴스	경제,취업_창업	그는 강행장을 찾아가 조직 개편 안을 건네며 은행 전반을 휘두를 수 있는 요직 전체를 자신이 맡겠다고 당당히 요구했다.	He went to chief Kang and handed over a reorganization plan, boldly demanding that he will take over the entire key posts that could wield the overall banking system.
기술과학	인공지능	이것은 예컨대, 재생 에너지 소스들의 사용에 의해 도입되는 새로운 목적들에 대한 시스템들의 적응을 가능하게 해준다.	This enables adaptation of the systems to new purposes introduced, for example, by the use of renewable energy sources.
글로벌동향정보	농산물	AmyB-GFP 국소화 패턴을 따랐을 때 세포막과 격막에서 GFP 신호를 관찰하였다.	When we followed the AmyB-GFP localization pattern, we observed GFP signals on the cell membrane and septa.
경제	경제경영	정규직 근로자가 줄어도 임금 인상으로 총급여액이 동일하다면 의무를 이행한 것으로 인정되므로, 기업 부담이 줄어드는 셈이다.	Even if the number of regular workers decreases, if the total wage remains the same due to a wage increase, it is recognized that the obligation has been fulfilled, reducing the burden on the company.
연구평가정보	가공식품	원발성 리스테리아증에 대한 숙주 방어에서 Fas와 퍼포린의 보완적인 역할은 P0L0 쥐에서 조사되었다.	The complementary roles of Fas and perforin in host defenses against primary listeriosis were examined in P0L0 mice.
